h3_index,lat,lng
8826645203fffff,41.78874203870028,-87.77407814018883
8826645205fffff,41.79725248242352,-87.79024293224079
8826645207fffff,41.78976923617244,-87.78548561116105
882664520bfffff,41.79519792378492,-87.76742453849852
8826645211fffff,41.78022985937471,-87.75791864543032
8826645215fffff,41.78125869200441,-87.76932411837223
8826645219fffff,41.786684208672945,-87.7512637439299
882664521bfffff,41.77919988217172,-87.74651335530268
882664521dfffff,41.78771369617779,-87.76267085081179
882664522bfffff,41.79079528852658,-87.79689326282838
8826645231fffff,41.775830948109586,-87.78737943831302
8826645235fffff,41.776856837579544,-87.79878363924529
8826645239fffff,41.78228637999277,-87.78072977322887
882664523bfffff,41.77480391427163,-87.77597541781626
882664523dfffff,41.78331292327196,-87.79213560910061
8826645251fffff,41.80062438205676,-87.74935840856482
8826645253fffff,41.79313878358059,-87.74460687345906
8826645257fffff,41.79416892634444,-87.75601561444077
8826645259fffff,41.807080062866866,-87.74269923248931
882664525bfffff,41.799593583649894,-87.73794803332366
8826645283fffff,41.736366832678264,-87.74083108958926
8826645289fffff,41.75029842793667,-87.7389246344047
882664528bfffff,41.74281655095234,-87.73417983113792
882664529dfffff,41.735335067089956,-87.72943650641388
88266452c1fffff,41.76423240422674,-87.73701702118825
88266452c3fffff,41.7567492535558,-87.73227107444637
88266452c9fffff,41.7706843365967,-87.73036115816836
88266452cbfffff,41.76320030503894,-87.72561554765446
88266452cdfffff,41.77171594722748,-87.7417644479313
88266452d1fffff,41.74823342039619,-87.71612876473789
88266452d3fffff,41.74075056808287,-87.71138759108185
88266452d5fffff,41.749266495600764,-87.72752660707876
88266452d7fffff,41.74178413074749,-87.72278361845886
88266452d9fffff,41.75468293558918,-87.70947194455913
88266452dbfffff,41.74719920239208,-87.70473110827956
88266452ddfffff,41.755716666176795,-87.72087141671989
8826645601fffff,41.68422239810229,-87.63270927132183
8826645603fffff,41.67674077331315,-87.62798715126056
8826645605fffff,41.68526392045586,-87.64409184676826
8826645607fffff,41.67778277857222,-87.63936791386166
8826645609fffff,41.69066224215572,-87.62604866597398
882664560bfffff,41.683179736502936,-87.62132688785628
882664560dfffff,41.69170442089436,-87.63743286301987
8826645611fffff,41.66821592068191,-87.61188774463903
8826645613fffff,41.660734611279786,-87.60717037829289
8826645615fffff,41.6692595469102,-87.62326650221252
8826645617fffff,41.661778719276555,-87.61854732355455
8826645619fffff,41.67465334635623,-87.60522620383045
882664561bfffff,41.66717115609749,-87.60050918056301
882664561dfffff,41.675697629217275,-87.61660658095245
8826645621fffff,41.679863372294776,-87.66213001237003
8826645623fffff,41.6723835947423,-87.6574039269908
8826645625fffff,41.68090196061639,-87.67351134649064
8826645629fffff,41.686304303492356,-87.65547461330192
882664562bfffff,41.67882364492313,-87.65074886786259
882664562dfffff,41.687343547140834,-87.6668575700291
8826645631fffff,41.66386352114154,-87.64130179193442
8826645639fffff,41.67030203471065,-87.63464545239081
882664563bfffff,41.66282168925434,-87.62992446173249
882664563dfffff,41.671343384011756,-87.6460245942812
8826645641fffff,41.70458609470287,-87.62410900480823
8826645643fffff,41.69710231028596,-87.61938609713019
8826645645fffff,41.70562844702892,-87.6354966383463
8826645647fffff,41.698145145792246,-87.6307719159293
8826645649fffff,41.71102726717927,-87.6174441289682
882664564bfffff,41.703542602046255,-87.61272156410239
882664564dfffff,41.71207027670061,-87.62883338514897
8826645651fffff,41.688574465999736,-87.60328085046334
8826645653fffff,41.68109099585317,-87.59856270044192
